Gene	Co-expression	Co-translation	Interactome
Zm00001d006769	0	1	1
Zm00001d009848	0	1	1
Zm00001d049387	0	0	1
Zm00001d028984	0	0	1
Zm00001d006055	0	0	1
Zm00001d020506	0	0	1
Zm00001d013420	0	0	1
Zm00001d047498	0	0	1
Zm00001d038221	0	0	1
Zm00001d042359	0	0	1
Zm00001d016684	0	0	1
Zm00001d004052	0	0	1
Zm00001d038929	0	0	1
Zm00001d022124	0	0	1
Zm00001d032588	0	0	1
Zm00001d032933	0	0	1
Zm00001d038673	0	0	1
Zm00001d037125	0	0	1
Zm00001d002543	1	1	1
Zm00001d030614	1	1	1
Zm00001d007233	1	1	1
Zm00001d046786	0	0	1
Zm00001d011721	0	0	1
Zm00001d031182	0	0	1
Zm00001d030266	0	0	1
Zm00001d014991	0	0	1
Zm00001d026296	0	0	1
Zm00001d002339	0	0	1
Zm00001d011370	0	0	1
Zm00001d038049	0	0	1
Zm00001d016181	0	0	1
Zm00001d043998	0	0	1
Zm00001d050850	0	0	1
Zm00001d007169	0	0	1
Zm00001d034218	0	0	1
Zm00001d013999	0	0	1
Zm00001d034371	0	0	1
Zm00001d053375	1	0	1
Zm00001d042267	0	0	1
Zm00001d027943	0	0	1
Zm00001d006504	0	0	1
Zm00001d026331	0	0	1
Zm00001d042118	0	0	1
Zm00001d047187	0	0	1
Zm00001d036024	0	0	1
Zm00001d028749	1	1	1
Zm00001d010850	0	1	1
Zm00001d004894	0	1	1
Zm00001d034702	1	1	1
Zm00001d034590	0	1	1
Zm00001d011405	0	0	1
Zm00001d033186	0	0	1
Zm00001d012846	1	0	1
Zm00001d038374	0	0	1
Zm00001d038301	0	0	1
Zm00001d017271	0	0	1
Zm00001d034620	0	0	1
Zm00001d015893	0	0	1
Zm00001d029170	0	0	1
Zm00001d050125	0	0	1
Zm00001d036296	0	0	1
Zm00001d050411	0	0	1
Zm00001d010259	0	0	1
Zm00001d041183	0	0	1
Zm00001d027701	0	0	1
Zm00001d049858	0	0	1
Zm00001d017746	0	0	1
Zm00001d024935	1	0	1
Zm00001d043239	0	0	1
Zm00001d011314	0	0	1
Zm00001d041884	0	0	1
Zm00001d045520	0	0	1
Zm00001d047186	0	0	1
Zm00001d035757	1	1	1
Zm00001d032543	1	1	1
Zm00001d014685	0	1	1
Zm00001d047673	1	0	1
Zm00001d027760	0	0	1
Zm00001d027845	0	0	1
Zm00001d048787	0	0	1
Zm00001d052339	0	0	1
Zm00001d035090	0	0	1
Zm00001d002084	0	0	1
Zm00001d045965	0	0	1
Zm00001d017456	0	0	1
Zm00001d041052	0	0	1
Zm00001d052312	0	0	1
Zm00001d043773	0	0	1
Zm00001d029036	0	0	1
Zm00001d039091	0	0	1
Zm00001d012844	0	0	1
Zm00001d049666	0	0	1
Zm00001d041415	0	0	1
Zm00001d040294	0	0	1
Zm00001d017890	0	0	1
Zm00001d010733	0	0	1
Zm00001d043682	1	1	1
Zm00001d008278	0	1	1
Zm00001d005334	0	1	1
Zm00001d018724	0	1	1
Zm00001d009312	0	0	1
Zm00001d008360	0	0	1
Zm00001d006555	0	0	1
Zm00001d018112	0	0	1
Zm00001d018386	0	0	1
Zm00001d011139	1	0	1
Zm00001d053593	0	0	1
Zm00001d018460	0	0	1
Zm00001d042966	0	0	1
Zm00001d034223	0	0	1
Zm00001d034754	1	0	1
Zm00001d006064	0	0	1
Zm00001d043606	0	0	1
Zm00001d014764	0	0	1
Zm00001d005662	0	0	1
Zm00001d026283	0	0	1
Zm00001d026559	0	0	1
Zm00001d010128	0	0	1
Zm00001d049557	0	0	1
Zm00001d035170	0	0	1
Zm00001d014673	0	0	1
Zm00001d016408	0	0	1
Zm00001d012857	0	0	1
Zm00001d023994	0	0	1
Zm00001d031259	0	0	1
Zm00001d051527	0	0	1
Zm00001d036428	0	0	1
Zm00001d039305	0	0	1
Zm00001d011087	0	0	1
Zm00001d016000	0	0	1
Zm00001d037104	0	0	1
Zm00001d015423	0	0	1
Zm00001d046449	0	0	1
Zm00001d022115	0	0	1
Zm00001d022169	0	1	1
Zm00001d048403	0	1	1
Zm00001d017449	0	1	1
Zm00001d013757	0	0	1
Zm00001d045864	0	0	1
Zm00001d029027	0	0	1
Zm00001d040364	0	0	1
Zm00001d033502	0	0	1
Zm00001d019926	0	0	1
Zm00001d012088	0	0	1
Zm00001d052364	0	0	1
Zm00001d018903	0	0	1
Zm00001d033301	0	0	1
Zm00001d042111	0	0	1
